model_name,accuracy,precision,recall,f1_score
DecisionTree,0.6679246489909489,0.6731142067340068,0.6740371627477613,0.6735528004535858
RandomForest,0.7259410880481019,0.7450886708698548,0.7260823473525104,0.7337175062995104
LightGBM,0.7121246042153069,0.7282771677745525,0.712560456253125,0.7188614235407373
DecisionTree-Removed,0.6587456423705504,0.6637665774077242,0.664723130464812,0.6642278571489033
RandomForest-Removed,0.7191607765375636,0.7395874615467003,0.719352967071057,0.727403466398967
LightGBM-Removed,0.700898711101161,0.7186864947956633,0.7016638009787649,0.7083369370128383
