model_name,accuracy,precision,recall,f1_score
DecisionTree,0.6780295724847316,0.686037164189832,0.6857840633199512,0.6858768228122294
RandomForest,0.7351012536162006,0.757149700111773,0.7370979176567805,0.7452071517767429
LightGBM,0.7076020572163292,0.7261461572618965,0.7089027588115242,0.7155621607741005
DecisionTree-Removed,0.6746865959498554,0.6820988347480076,0.6828252684485068,0.6824463614807192
RandomForest-Removed,0.7304725168756027,0.7524435019218568,0.7329424538243484,0.740873508655197
LightGBM-Removed,0.7032626165220186,0.7220660827137273,0.7051539373556378,0.7115912226622567
